,Year,Country,GDP,Per Capita
501,2013,MONACO,6555983530.34932,177673.74536841974
112,2013,LIECHTENSTEIN,6391735893.83968,173030.2082793633
114,2013,LUXEMBOURG,65203276466.9763,120000.14072985921
144,2013,NORWAY,522761531914.894,102913.45084367364
21,2013,BERMUDA,6465756000.0,99471.63889786311
608,2014,MONACO,7069616048.89066,189432.3700131474
332,2014,LIECHTENSTEIN,6657170923.37918,178864.85191378542
334,2014,LUXEMBOURG,68804811897.6445,123678.70214327482
241,2014,BERMUDA,6413988000.0,98467.683993982
364,2014,NORWAY,498410050251.256,97019.18275274622
