,Year,Country,Total,Per Capita
6401,1960,FALKLAND ISLANDS (MALVINAS),53,24.6
6459,1960,NETHERLAND ANTILLES AND ARUBA,3025,22.41
6445,1960,LUXEMBOURG,3141,10.0
6440,1960,KUWAIT,2128,8.07
6406,1960,FORMER GERMAN DEMOCRATIC REPUBLIC,73822,4.28
6634,1961,NETHERLAND ANTILLES AND ARUBA,3157,23.05
6575,1961,FALKLAND ISLANDS (MALVINAS),42,19.64
6620,1961,LUXEMBOURG,3161,9.96
6615,1961,KUWAIT,2722,9.18
6580,1961,FORMER GERMAN DEMOCRATIC REPUBLIC,77633,4.53
6812,1962,NETHERLAND ANTILLES AND ARUBA,3467,24.94
6792,1962,KUWAIT,3897,11.56
6797,1962,LUXEMBOURG,3150,9.81
6752,1962,FALKLAND ISLANDS (MALVINAS),13,5.93
6757,1962,FORMER GERMAN DEMOCRATIC REPUBLIC,81322,4.76
7008,1963,QATAR,1674,27.31
6990,1963,NETHERLAND ANTILLES AND ARUBA,3321,23.55
6970,1963,KUWAIT,4643,12.11
6975,1963,LUXEMBOURG,3122,9.61
6930,1963,FALKLAND ISLANDS (MALVINAS),13,5.97
7190,1964,QATAR,1711,25.5
7171,1964,NETHERLAND ANTILLES AND ARUBA,3229,22.43
7149,1964,KUWAIT,6909,15.95
7154,1964,LUXEMBOURG,3356,10.21
7114,1964,FORMER GERMAN DEMOCRATIC REPUBLIC,86254,5.07
7374,1965,QATAR,1716,23.48
7333,1965,KUWAIT,9659,19.95
7355,1965,NETHERLAND ANTILLES AND ARUBA,2897,19.84
7338,1965,LUXEMBOURG,3328,10.04
7298,1965,FORMER GERMAN DEMOCRATIC REPUBLIC,84654,4.97
7558,1966,QATAR,1712,21.62
7539,1966,NETHERLAND ANTILLES AND ARUBA,2709,18.18
7517,1966,KUWAIT,9586,17.89
7522,1966,LUXEMBOURG,3169,9.5
7482,1966,FORMER GERMAN DEMOCRATIC REPUBLIC,85140,5.0
7723,1967,NETHERLAND ANTILLES AND ARUBA,3337,21.96
7742,1967,QATAR,1824,21.32
7701,1967,KUWAIT,6938,11.8
7706,1967,LUXEMBOURG,3098,9.26
7785,1967,UNITED STATES OF AMERICA,1007829,4.88
7925,1968,QATAR,1931,20.92
7906,1968,NETHERLAND ANTILLES AND ARUBA,3103,20.15
7889,1968,LUXEMBOURG,3346,9.97
7884,1968,KUWAIT,6120,9.54
7908,1968,NEW CALEDONIA,502,5.09
8151,1969,UNITED ARAB EMIRATES,5597,27.8
8091,1969,NETHERLAND ANTILLES AND ARUBA,4061,25.87
8110,1969,QATAR,1956,19.59
8074,1969,LUXEMBOURG,3598,10.68
8069,1969,KUWAIT,7317,10.5
8278,1970,NETHERLAND ANTILLES AND ARUBA,4542,28.57
8297,1970,QATAR,2064,19.04
8334,1970,UNITED ARAB EMIRATES,4158,17.94
8180,1970,BRUNEI (DARUSSALAM),2239,17.9
8260,1970,LUXEMBOURG,3749,11.05
8463,1971,NETHERLAND ANTILLES AND ARUBA,3953,24.55
8519,1971,UNITED ARAB EMIRATES,5777,21.2
8482,1971,QATAR,2496,21.11
8364,1971,BRUNEI (DARUSSALAM),2050,15.65
8354,1971,BAHAMAS,1836,10.56
8649,1972,NETHERLAND ANTILLES AND ARUBA,3833,23.66
8669,1972,QATAR,2941,22.76
8706,1972,UNITED ARAB EMIRATES,6396,19.81
8551,1972,BRUNEI (DARUSSALAM),2580,18.81
8630,1972,LUXEMBOURG,3680,10.61
8836,1973,NETHERLAND ANTILLES AND ARUBA,4252,25.93
8856,1973,QATAR,3400,24.14
8892,1973,UNITED ARAB EMIRATES,8353,21.8
8738,1973,BRUNEI (DARUSSALAM),2722,18.96
8726,1973,BAHAMAS,2147,11.83
9022,1974,NETHERLAND ANTILLES AND ARUBA,3854,23.36
9078,1974,UNITED ARAB EMIRATES,8543,18.84
9042,1974,QATAR,2860,18.79
8924,1974,BRUNEI (DARUSSALAM),2232,14.88
8936,1974,CHRISTMAS ISLAND,34,11.44
9228,1975,QATAR,2988,18.35
9208,1975,NETHERLAND ANTILLES AND ARUBA,2791,16.82
9264,1975,UNITED ARAB EMIRATES,8473,15.88
9110,1975,BRUNEI (DARUSSALAM),1931,12.33
9122,1975,CHRISTMAS ISLAND,37,12.28
9394,1976,NETHERLAND ANTILLES AND ARUBA,5962,35.49
9450,1976,UNITED ARAB EMIRATES,10813,17.32
9414,1976,QATAR,2832,16.45
9308,1976,CHRISTMAS ISLAND,34,11.44
9296,1976,BRUNEI (DARUSSALAM),1643,10.07
9580,1977,NETHERLAND ANTILLES AND ARUBA,3114,18.42
9600,1977,QATAR,2707,14.99
9636,1977,UNITED ARAB EMIRATES,10577,14.59
9470,1977,BAHAMAS,2650,13.44
9482,1977,BRUNEI (DARUSSALAM),1744,10.27
